Date,Symbol,Prev Close,Open,High,Prev Low,Prev high,Previous VWAP,Previous Volume,Previous Percentage,PreviousValue change,Previous Nifty 50,Previous Nifty 100,Previous Sensex,Buy Don?t buy
1/5/2010,RELIANCE,1090.55,1149.9,1091.1,1021.85,1075.5,1044.44,17520006,-1.4,-15.05,5200.9,5098.5,17473.45,YES
1/6/2010,RELIANCE,1075.5,1079.9,1149.9,1065.4,1070.7,1078.03,4890040,-0.45,-4.8,5277.15,5188.55,17555.77,YES
1/7/2010,RELIANCE,1070.7,1088,1094.5,1070.65,1088,1084.64,5415538,1.59,17.3,5278.15,5221.65,17719.47,YES
1/8/2010,RELIANCE,1088,1108,1115,1078,1106.05,1103.49,5988404,1.63,18.05,5281.8,5213.45,17701.97,YES
1/11/2010,RELIANCE,1106.05,1134.7,1113.8,1096,1103.15,1104.79,3453926,-0.26,-2.9,5264.25,5193.45,17603.87,YES
1/12/2010,RELIANCE,1103.15,1095,1149.7,1050,1081.5,1059.88,43122135,-2,-21.65,5263.8,5182.65,17724.59,NO
1/13/2010,RELIANCE,1081.5,1088,1137.3,1077,1084.35,1092.17,7495359,0.26,2.85,5251.1,5198.45,17534.1,YES
1/14/2010,RELIANCE,1084.35,1086,1092,1068.6,1088.6,1085.06,3511078,0.39,4.25,5212.6,5111.75,17368.03,YES
1/15/2010,RELIANCE,1088.6,1125.8,1124.8,1086,1121.7,1113.84,5610718,2.95,33.1,5234.5,5188.4,17525.71,YES
1/18/2010,RELIANCE,1121.7,1107,1138.9,1105.05,1110.75,1120,4289733,-0.99,-10.95,5259.9,5215.95,17604.31,NO
1/19/2010,RELIANCE,1110.75,1100,1116.45,1091.95,1099.5,1105.59,3239525,-1.02,-11.25,5253.65,5179.6,17538.72,NO
1/20/2010,RELIANCE,1099.5,1095,1106.05,1082.65,1085,1095.62,2986363,-1.34,-14.5,5274.2,5217.25,17650.82,NO
1/21/2010,RELIANCE,1085,1075,1097.1,1072,1077.5,1084.31,4418747,-0.7,-7.5,5226.1,5183.95,17486.69,NO
1/22/2010,RELIANCE,1077.5,1041,1077,1050.25,1054.05,1062.58,4254235,-2.22,-23.45,5220.2,5141.15,17474.49,NO
1/25/2010,RELIANCE,1054.05,1049.65,1071,1029.5,1053.85,1053.09,9113512,-0.02,-0.2,5094.15,5011.65,16978.36,NO
1/27/2010,RELIANCE,1053.85,1034,1054.4,1036.7,1042.05,1045.5,3061478,-1.13,-11.8,5034.55,4963.9,16847.7,NO
1/28/2010,RELIANCE,1042.05,1040,1050,1020,1027.55,1032.66,5678803,-1.41,-14.5,5008.5,4897.7,16708.6,NO
1/29/2010,RELIANCE,1027.55,1032.9,1046.45,1025,1037.15,1037.35,7594324,0.93,9.6,4863,4825.25,16317.16,YES
2/1/2010,RELIANCE,1037.15,1037.5,1051.8,1018.1,1046.2,1035.23,5333541,0.87,9.05,4866.15,4762.8,16253.82,YES
2/2/2010,RELIANCE,1046.2,1052,1055,1035.55,1045.4,1046.54,2773369,-0.08,-0.8,4882.05,4793.45,16339.32,YES
2/3/2010,RELIANCE,1045.4,1031.1,1056.35,1024.1,1027.3,1037.43,3942831,-1.76,-18.1,4907.85,4883.45,16368.44,NO
2/4/2010,RELIANCE,1027.3,1038,1048.4,1031.1,1033.95,1039.18,3440695,0.64,6.65,4831,4798.5,16210.25,YES
2/5/2010,RELIANCE,1033.95,975,1038,1014,1019.15,1027.44,2737193,-1.45,-14.8,4931.3,4871.75,16500.29,NO
2/6/2010,RELIANCE,1019.15,990,1007.75,975,981.7,990.64,6830723,-3.81,-37.45,4819.65,4723.05,16222.56,NO
2/8/2010,RELIANCE,981.7,985,997.5,985.4,993.75,992.34,647435,1.21,12.05,4712.75,4688,15807.75,YES
2/9/2010,RELIANCE,993.75,993.75,1004.35,975,994.35,987.98,5919146,0.06,0.6,4755.35,4723.05,15931.34,YES
2/10/2010,RELIANCE,994.35,999.9,998,982.7,993.25,991.87,3266918,-0.11,-1.1,4760.55,4717.9,15940.73,YES
2/11/2010,RELIANCE,993.25,989.25,999.9,982,985.1,989.41,4174214,-0.83,-8.15,4793,4766.7,16042.18,NO
2/15/2010,RELIANCE,985.1,1027,1019.8,988.5,1015.15,1003.95,5360299,2.96,30.05,4757.25,4738.65,15928.28,YES
2/16/2010,RELIANCE,1015.15,1010.1,1027,1007.6,1010,1016.13,3085557,-0.51,-5.15,4827.9,4801.5,16186.9,NO
2/17/2010,RELIANCE,1010,1025,1021,1005,1017.75,1013.91,2301434,0.76,7.75,4801.8,4772.2,16042.18,YES
2/18/2010,RELIANCE,1017.75,1030,1037.8,1022.05,1032.55,1029.06,3572783,1.43,14.8,4858.65,4843.75,16228.91,YES
2/19/2010,RELIANCE,1032.55,995,1038.35,995,997.8,1004.53,4533745,-3.48,-34.75,4915.1,4869.65,16421.2,NO
2/22/2010,RELIANCE,997.8,995.3,995,977.15,983.2,984.36,4058388,-1.48,-14.6,4887.3,4799.15,16256.53,NO
2/23/2010,RELIANCE,983.2,974,1000,970,977.95,985.82,2901188,-0.54,-5.25,4849.35,4842.5,16191.32,NO
2/24/2010,RELIANCE,977.95,970,983,970,975.35,976.1,2966309,-0.27,-2.6,4856.6,4788.8,16213.14,NO
2/25/2010,RELIANCE,975.35,980.1,985.7,966.65,978.8,980.37,2854453,0.35,3.45,4869.55,4779.35,16218.68,YES
2/26/2010,RELIANCE,978.8,969,985,959.15,963.1,968.68,4332580,-1.63,-15.7,4859,4810.65,16264.1,NO
3/2/2010,RELIANCE,963.1,985,995,966.25,978.95,983.6,5161233,1.62,15.85,4858.5,4806.45,16255.33,YES
